Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
APSRTC - 2538,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:15,04:15,04h 00m,INR 281,3 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23537,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:30,06:00,04h 30m,INR 281,5 Seats available,"4.0
6",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 24263,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",02:00,05:00,03h 00m,INR 281,34 Seats available,"5.0
3",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3714,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:25,07:20,03h 55m,INR 284,31 Seats available,"1.7
2",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2651,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:00,07:00,03h 00m,INR 281,19 Seats available,"3.5
75",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2653,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:40,07:40,03h 00m,INR 281,33 Seats available,"3.8
51",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2855,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",05:00,09:30,04h 30m,INR 269,19 Seats available,"4.0
14",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2214,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:15,09:45,04h 30m,INR 281,34 Seats available,"4.2
7",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2659,INDRA(A.C. Seater),05:20,08:20,03h 00m,INR 340,21 Seats available,"4.1
105",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 23547,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:45,10:15,04h 30m,INR 281,34 Seats available,"3.5
3",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2889,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,09:00,03h 00m,INR 281,16 Seats available,"3.7
85",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2530,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,10:15,04h 00m,INR 281,34 Seats available,"3.5
4",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3328,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:30,11:00,04h 30m,INR 281,34 Seats available,"3.1
9",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 2657,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:40,09:40,03h 00m,INR 281,26 Seats available,"4.2
36",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
APSRTC - 3330,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:00,11:30,04h 30m,INR 281,31 Seats available,"1.0
1",https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
Morning Star Travels,A/C Sleeper (2+1),02:10,05:00,02h 50m,INR 990,2 Seats available,2.7,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
Sai Sree Travels,A/C Sleeper (2+1),23:45,22:10,22h 25m,INR 999,25 Seats available,2.7,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,03:30,03h 40m,INR 5000,1 Seat available,New,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam,Kakinada to Visakhapatnam
NueGo,Electric A/C Seater (2+2),05:00,11:25,06h 25m,474,9 Seats available,"4.1
444",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
FRESHBUS,Electric A/C Seater (2+2),06:00,12:20,06h 20m,499,27 Seats available,"4.7
455",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
NueGo,Electric A/C Seater (2+2),06:00,11:45,05h 45m,332,21 Seats available,"4.5
220",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
AdGKT TRAVELS,A/C Seater/Sleeper (2+1),22:15,04:10,05h 55m,1472,21 Seats available,"4.4
98",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
NSK Travels,A/C Sleeper (2+1),20:45,03:00,06h 15m,1619,20 Seats available,4.1,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
NueGo,Electric A/C Seater (2+2),07:00,12:45,05h 45m,350,19 Seats available,"4.1
326",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
FRESHBUS,Electric A/C Seater (2+2),07:15,13:40,06h 25m,474,34 Seats available,"4.6
430",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
NueGo,Electric A/C Seater (2+2),09:00,14:45,05h 45m,332,24 Seats available,"4.2
369",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
NueGo,Electric A/C Seater (2+2),11:00,17:25,06h 25m,427,11 Seats available,"4.0
530",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
FRESHBUS,Electric A/C Seater (2+2),12:25,18:15,05h 50m,524,29 Seats available,"4.6
397",https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Bangalore to Tirupati
APSRTC - 6204,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:30,11:00,06h 30m,INR 439,4 Seats available,"3.3
24",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
APSRTC - 6206,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:30,12:00,06h 30m,INR 439,5 Seats available,"3.2
14",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
APSRTC - 50182,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,13:00,07h 00m,INR 439,5 Seats available,"3.5
19",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
APSRTC - 6011,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:30,13:30,07h 00m,INR 439,4 Seats available,"3.7
39",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
APSRTC - 50103,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",07:30,14:15,06h 45m,INR 412,5 Seats available,"3.7
36",https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Bangalore to Kadapa
