Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
KSRTC (Kerala) - 788,Super Fast Non AC Seater (2+3),07:00,15:20,08h 20m,INR 432,3 Seats available,"4.1
33",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 2132,Swift Deluxe Non AC Air Bus (2+2),07:30,15:50,08h 20m,INR 567,10 Seats available,"2.8
9",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 580,Super Express Non AC Seater Air Bus (2+2),08:05,16:45,08h 40m,INR 469,23 Seats available,"3.5
39",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 53,SWIFT-GARUDA A/C SEATER BUS,08:30,17:05,08h 35m,INR 627,2 Seats available,"3.9
83",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 579,Super Express Non AC Seater Air Bus (2+2),10:00,18:30,08h 30m,INR 469,3 Seats available,"4.1
43",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,12:00,20:20,08h 20m,INR 627,8 Seats available,"4.1
67",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:30,22:05,08h 35m,INR 432,26 Seats available,"4.1
58",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,03:15,09h 15m,INR 513,11 Seats available,"3.5
34",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,04:20,09h 15m,INR 688,2 Seats available,"3.6
46",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
KSRTC (Kerala) - 1584,Super Express Non AC Seater Air Bus (2+2),21:30,06:35,09h 05m,INR 640,1 Seat available,"2.9
26",https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
