Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
VSR Tours and Travels,A/C Sleeper (2+1),00:14,06:00,05h 46m,INR 610,17 Seats available,"3.9
3",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Bharathi Tours & Travels,A/C Sleeper (2+1),00:40,05:30,04h 50m,INR 690,18 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Mythri Tours And Travels,A/C Sleeper (2+1),01:30,06:30,05h 00m,INR 699,5 Seats available,"4.8
4",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),20:40,03:30,06h 50m,INR 750,12 Seats available,"3.9
3",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Gupta Travels Galaxy,NON A/C Seater / Sleeper (2+2),21:00,03:15,06h 15m,INR 900,23 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,NON A/C Seater (2+2),21:15,04:00,06h 45m,INR 980,20 Seats available,"3.6
2",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
Sri KVR Travels,Non A/C Seater / Sleeper (2+1),21:15,03:00,05h 45m,INR 890,4 Seats available,"4.9
11",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
,,,,,,,,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 7359,Super Luxury (Non AC Seater 2+2 Push Back),00:10,03:15,03h 05m,INR 283,29 Seats available,"4.6
11",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7377,Super Luxury (Non AC Seater 2+2 Push Back),00:30,03:45,03h 15m,INR 283,22 Seats available,3.8,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 9508,RAJDHANI (A.C. Semi Sleeper),01:20,04:35,03h 15m,INR 343,27 Seats available,3.8,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
,,,,,,,,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
Shree Saipooja Travels,A/C Seater/Sleeper (2+1),23:10,02:30,03h 20m,630,26 Seats available,2.8,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),03:40,08:45,05h 05m,INR 2190,1 Seat available,"2.6
3",https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
