Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Bihar state road transport corporation (BSRTC) - 152154,Volvo AC Seater 2+2,01:00,08:30,07h 30m,1141,28 Seats available,"1.1
16",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
Bihar state road transport corporation (BSRTC) - 137431,Volvo AC Seater 2+2,03:30,11:59,08h 29m,1141,30 Seats available,"5.0
2",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),21:00,05:15,08h 15m,INR 469,37 Seats available,"4.8
766",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),22:00,06:15,08h 15m,INR 509,35 Seats available,"4.7
815",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
Raj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),22:30,06:00,07h 30m,INR 483,41 Seats available,"4.6
1529",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
AdYolo Bus,Bharat Benz A/C Sleeper (2+1),22:45,05:00,06h 15m,INR 700,30 Seats available,"4.9
11",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:35,07:20,07h 45m,INR 409,36 Seats available,"4.8
376",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,07:40,07h 45m,INR 439,34 Seats available,"4.7
670",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,07:00,08h 15m,INR 409,35 Seats available,"4.8
352",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
AdRaj Kalpana Travels Pvt.ltd.,A/C Seater/Sleeper (2+1),11:30,19:30,752h 00m,INR 499,30 Seats available,"4.4
866",https://www.redbus.in/bus-tickets/lucknow-to-delhi,Lucknow to Delhi
